# Aggregate Log Version: 1.00,,,,
# Log Name: logfiles/25fallleaf_100_aggregateLog.csv,,,,
# Noise%, Dimension, Dim Std Err, Variance, Var Std Err
0.0,1.21836602601,1.11581612312e-17,0.00847444042953,1.22042388466e-19
0.0001,1.20773955511,8.64331225702e-05,0.00870300846514,1.08659406088e-05
0.001,1.14059956137,0.000130163545532,0.0146306233886,2.69227219741e-05
0.002,1.1126135982,8.93675373724e-05,0.0272827413107,6.30603944263e-05
0.003,1.09966795053,6.62422125253e-05,0.045369620086,8.89121867368e-05
0.004,1.09477101237,4.72797024507e-05,0.064914927317,0.000111120266449
0.005,1.09318615566,3.88701112199e-05,0.0834953840988,0.000119888602911
0.006,1.09303421246,3.54063381471e-05,0.100901152446,0.000116689196564
0.007,1.09350716253,3.3733265376e-05,0.11785888724,0.000116129846488
0.008,1.09479153305,3.37717390477e-05,0.133698628338,0.000114680465147
0.009,1.09592718875,3.11447845579e-05,0.147902291123,0.000117408515261
0.01,1.09753322582,2.93355895529e-05,0.161244665633,0.000119703233522
0.02,1.11372685629,2.37831624963e-05,0.260280303991,0.000115430355254
0.03,1.12670746563,1.63407744907e-05,0.318640371856,9.18753918827e-05
0.04,1.13789750979,1.54170611959e-05,0.356337868682,7.02583816413e-05
0.05,1.14839678372,1.46251821579e-05,0.384068884436,5.96579374566e-05
0.06,1.1587032136,1.52581228739e-05,0.40497650696,5.67311786114e-05
0.07,1.16878512899,1.58592057374e-05,0.421893474874,4.82062103852e-05
0.08,1.17880957314,1.71298685814e-05,0.435715767393,4.26341555772e-05
0.09,1.18856271835,1.76962545529e-05,0.447674700332,4.1735207387e-05
0.1,1.19813537392,1.84643679033e-05,0.457774355748,4.10244514484e-05
0.2,1.27961430755,1.73432708141e-05,0.517326020524,2.5390410924e-05
0.3,1.33890277503,1.42423271574e-05,0.5407281673,1.75992024816e-05
0.4,1.38362787766,1.38298251151e-05,0.548157432859,1.54597537318e-05
0.5,1.41913769081,1.15105559871e-05,0.547619667842,1.54023973749e-05
0.6,1.44809875971,1.06128221732e-05,0.542143640025,1.67835646223e-05
0.7,1.47254039022,9.53340244327e-06,0.53390459509,1.58708832033e-05
0.8,1.4935599628,8.38901549162e-06,0.524070133115,1.41920981384e-05
0.9,1.51194911203,8.54311085571e-06,0.513355165869,1.39597047371e-05
1.0,1.52833823411,7.8362610269e-06,0.502280502166,1.36097101313e-05
2.0,1.63682188085,5.82777026382e-06,0.398893323266,1.0448573771e-05
3.0,1.70166626182,5.44104251501e-06,0.317629788737,9.84896824789e-06
4.0,1.7478657898,4.44635878999e-06,0.255588591527,8.25604342027e-06
5.0,1.7833583307,3.96535634826e-06,0.207956897205,7.55457781523e-06
6.0,1.81189212982,3.5772157481e-06,0.170420942329,6.58221902737e-06
7.0,1.83547757046,3.44563113972e-06,0.140214303267,6.02206805656e-06
8.0,1.85540594346,3.23873698929e-06,0.115400686746,5.41206822423e-06
9.0,1.87243688561,2.93624625345e-06,0.0949325672471,4.69707048039e-06
10.0,1.88717157055,2.71454214273e-06,0.0779181722337,4.00412073897e-06
15.0,1.9377640855,1.81991889678e-06,0.0276605096126,1.68705534462e-06
20.0,1.96557346657,1.42386215014e-06,0.00906653968995,7.7708502237e-07
25.0,1.98126038117,1.03597439831e-06,0.00276434681512,3.08865306351e-07
30.0,1.99008278705,7.86750121169e-07,0.000782371080787,1.25293746608e-07
35.0,1.9949500708,5.57737378233e-07,0.000203693560147,4.51781477242e-08
40.0,1.99755320698,3.46808497707e-07,4.78804013734e-05,1.35624821124e-08
45.0,1.99888236809,2.54863449733e-07,9.99720855701e-06,4.55383724313e-09
50.0,1.99952214727,1.73895992225e-07,1.82903564372e-06,1.33535917634e-09
# The data files below are included in this aggregation:,,,,
# logfiles/25fallleaf/25fallleaf_u001-20160229_112719.csv,,,,
# logfiles/25fallleaf/25fallleaf_u002-20160229_112721.csv,,,,
# logfiles/25fallleaf/25fallleaf_u003-20160229_112719.csv,,,,
# logfiles/25fallleaf/25fallleaf_u004-20160229_112720.csv,,,,
# logfiles/25fallleaf/25fallleaf_u005-20160229_112720.csv,,,,
